ID,Album,Rank,Title,Percentage,Full Instrumentation,Vocals,Lyrics,Originality / Innovation,Bassline,Percussion,Solo,Chord Progression,Cultural Significance,Total Points,Total Potential Points
1,Please Please Me,115,I Saw Her Standing There,45.45%,4,6,3,4,2,2,1,2,1,25,55
2,Please Please Me,183,Misery,17.65%,2,3,3,1,0,0,,0,0,9,51
3,Please Please Me,128,Ask Me Why,41.18%,4,7,2,3,1,1,,3,0,21,51
4,Please Please Me,126,Please Please Me,43.14%,3,7,2,4,1,3,,1,1,22,51
5,Please Please Me,184,Love Me Do,16.36%,2,2,0,3,0,0,1,0,1,9,55
6,Please Please Me,177,P.S. I Love You,21.82%,2,4,1,2,1,1,,1,0,12,55
7,Please Please Me,133,Do You Want to Know a Secret,39.22%,4,5,3,3,2,1,,2,0,20,51
8,Please Please Me,160,There's a Place,29.41%,3,4,3,2,0,2,,1,0,15,51
9,Single,149,From Me to You,33.33%,3,5,1,3,1,2,,1,1,17,51
10,Single,154,Thank You Girl,31.37%,3,5,2,2,0,3,,1,0,16,51
11,Single,125,She Loves You,43.14%,4,5,3,3,1,3,,2,1,22,51
12,Single,182,I'll Get You,17.65%,3,3,1,1,0,0,,1,0,9,51
13,With the Beatles,143,It Won't Be Long,37.25%,5,7,1,3,0,1,,2,0,19,51
14,With the Beatles,124,All I've Got to Do,43.14%,4,7,2,3,1,3,,2,0,22,51
15,With the Beatles,137,All My Loving,38.18%,5,5,2,2,2,1,1,2,1,21,55
16,With the Beatles,174,Don't Bother Me,23.64%,3,1,3,2,1,2,0,1,0,13,55
17,With the Beatles,185,Little Child,16.36%,2,2,0,1,1,1,1,1,0,9,55
18,With the Beatles,179,Hold Me Tight,21.57%,2,3,1,2,0,2,,1,0,11,51
19,With the Beatles,186,I Wanna Be Your Man,9.09%,2,1,0,0,0,1,1,0,0,5,55
20,With the Beatles,170,Not a Second Time,27.27%,3,3,1,3,1,2,1,1,0,15,55
21,Single,132,I Want to Hold Your Hand,39.22%,4,5,2,3,1,3,,1,1,20,51
22,Single,43,This Boy,64.71%,8,10,4,5,2,1,,3,0,33,51
23,Single,157,I Call Your Name,30.91%,3,2,3,3,1,3,0,2,0,17,55
24,A Hard Day's Night,129,A Hard Day's Night,40.00%,4,4,3,3,0,3,2,2,1,22,55
